1,344444441,林巩惑前31,344441,1
2,355555552,林巩惑前32,355552,1
3,366666663,林巩惑前33,366663,1
4,377777774,林巩惑前34,377774,1
5,388888885,林巩惑前35,388885,1
6,399999996,林巩惑前36,399996,1
7,411111107,林巩惑前37,411107,1
8,422222218,林巩惑前38,422218,1
9,433333329,林巩惑前39,433329,1
10,444444440,林巩惑前40,444440,1
11,455555551,林巩惑前41,455551,1
12,466666662,林巩惑前42,466662,1
13,477777773,林巩惑前43,477773,1
14,488888884,林巩惑前44,488884,1
15,499999995,林巩惑前45,499995,1
16,511111106,林巩惑前46,511106,1
17,522222217,林巩惑前47,522217,1
18,533333328,林巩惑前48,533328,1
19,544444439,林巩惑前49,544439,1
20,555555550,林巩惑前50,555550,1
